recno;ID_ROADKILL;SESION;DATE;TRANSECT;OBSERVER;P_V;METHODOLOGY;OBSERVED;SPECIE;GROUP;STATUS;latitude;longitude;precision;utm_n;utm_e;utm_zona;LOCATION;d1;d2;D_CONSENSUS
137;23;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Indeterminated mammal;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
138;23;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Indeterminated mammal;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
139;24;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;1;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;37.588715;-5.45583;4;4163019;283168;30S;ROADWAY;10;1;1
140;24;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
141;24;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
142;24;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
143;24;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
144;24;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
145;25;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;1;Lagomorph;MEDIUM_MAMMAL;5;37.588756;-5.456695;5;4163025;283092;30S;ROADWAY;15;4.5;5
146;25;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
